S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
256.,Aster DM Health.,592.00,76.89,30672.73,0.70,85.54,136.09,1000.34,2.75,10.68
257.,Global Health,1129.05,58.48,30324.87,0.00,101.38,7.96,931.25,15.16,19.52
258.,IRB Infra.Devl.,49.74,30.04,30037.98,0.61,214.72,13.68,2149.24,4.27,7.82
259.,Sona BLW Precis.,480.00,48.62,29842.42,0.65,163.68,11.86,864.75,-2.19,18.72
260.,Bandhan Bank,181.90,10.70,29303.60,0.83,317.90,481.91,5433.86,4.71,7.83
261.,Gland Pharma,1778.15,41.99,29296.13,1.12,186.54,-3.06,1424.91,-7.32,11.90
262.,Indraprastha Gas,208.70,17.05,29218.03,2.13,453.21,4.60,3950.84,9.84,21.43
263.,Delhivery,389.00,173.70,29030.40,0.00,72.56,234.84,2191.57,5.59,2.72
264.,Apollo Tyres,451.75,23.06,28690.69,1.11,184.62,-30.09,6423.59,2.64,11.38
265.,Tata Technolog.,700.10,41.97,28400.80,1.18,188.87,20.12,1285.65,-1.18,25.80
266.,Brigade Enterpr.,1158.80,41.66,28324.28,0.18,249.35,19.76,1460.39,-14.21,13.38
267.,PNB Housing,1085.00,14.49,28224.54,0.00,567.11,27.79,2029.94,12.73,9.45
268.,Aegis Logistics,797.55,42.19,27994.03,0.25,317.81,43.50,1705.04,-7.19,13.22
269.,J B Chemicals &,1793.55,42.43,27989.97,0.69,145.69,15.48,949.48,10.18,26.62
270.,Wockhardt,1716.25,,27886.60,0.00,-45.00,80.39,743.00,6.14,3.75
271.,Reliance Power,66.69,,27581.47,0.00,125.57,133.30,1978.01,-0.93,6.05
272.,Firstsour.Solu.,389.50,46.85,27538.73,0.99,160.69,20.37,2161.46,29.39,14.78
273.,Inventurus Knowl,1595.00,56.32,27365.92,0.00,147.80,132.50,723.96,16.78,27.22
274.,Affle 3i,1942.00,71.50,27292.20,0.00,103.07,17.81,602.25,18.97,16.82
275.,Nuvama Wealth,7508.00,27.38,27032.31,1.94,255.27,41.24,1119.81,20.56,20.41
,Median: 501 Co.,897.0,42.18,31594.52,0.45,211.0,14.87,2060.64,10.6,15.99
276.,Piramal Pharma,201.95,294.60,26844.12,0.07,153.50,33.64,2754.07,7.90,6.53
277.,Deepak Nitrite,1942.40,37.95,26493.06,0.40,202.50,3.35,2179.69,2.52,16.61
278.,Motherson Wiring,59.88,43.66,26473.61,1.44,164.93,-13.85,2509.52,12.40,42.54
279.,A B Real Estate,2355.00,,26304.32,0.21,-135.20,-162.95,394.76,-51.52,-0.12
280.,Syngene Intl.,650.75,55.52,26221.26,0.20,183.30,-2.81,1018.00,11.03,13.46
281.,Krishna Institu.,654.50,69.52,26189.09,0.00,106.10,43.82,796.90,25.73,15.14
282.,Bayer Crop Sci.,5745.55,45.48,25821.69,2.46,143.30,49.27,1046.40,32.07,24.76
283.,Angel One,2850.90,22.01,25794.26,1.65,174.52,-48.66,1056.01,-22.20,25.80
284.,Jyoti CNC Auto.,1130.80,79.62,25716.98,0.00,108.97,9.36,575.68,27.89,24.35
285.,Pfizer,5619.00,40.19,25705.63,0.64,330.94,10.89,591.91,8.28,21.58
286.,Piramal Enterp.,1126.35,58.34,25531.86,0.98,102.44,107.42,2853.55,15.37,6.78
287.,Sumitomo Chemi.,511.20,50.88,25516.31,0.17,98.41,-9.95,664.80,0.06,25.11
288.,Timken India,3377.00,56.79,25401.35,0.07,186.83,32.10,939.79,4.68,21.00
289.,Emcure Pharma,1333.00,36.71,25261.47,0.00,197.24,69.53,2116.25,19.47,20.82
290.,Star Health Insu,429.75,39.06,25260.93,0.00,0.51,-99.64,4081.25,10.65,11.93
291.,ZF Commercial,13295.00,54.97,25207.31,0.13,125.19,23.86,1003.19,4.99,20.20
292.,Hindustan Copper,259.00,53.45,25045.94,0.36,190.54,53.28,731.40,29.37,23.99
293.,Emami,569.75,31.06,24869.65,1.42,162.17,10.51,963.05,8.06,33.86
294.,M R P L,141.20,440.27,24746.74,2.15,370.63,-67.60,24595.87,-2.89,4.33
295.,K E C Intl.,928.15,43.32,24707.32,0.43,268.20,76.74,6872.12,11.47,16.00
296.,Welspun Corp,935.10,16.32,24613.91,0.54,699.19,15.46,3924.97,-12.02,25.62
297.,The Ramco Cement,1040.35,240.70,24582.66,0.24,25.65,-84.57,2397.27,-10.49,4.76
298.,Tata Chemicals,941.90,91.20,23995.86,1.20,-49.00,-114.13,3509.00,0.98,3.96
299.,Redington,306.70,20.35,23977.04,2.19,917.74,-6.50,26439.68,17.86,17.87
300.,JSW Holdings,21200.00,120.16,23532.01,0.00,9.72,-70.80,29.46,9.15,0.82
,Median: 501 Co.,897.0,42.18,31594.52,0.45,211.0,14.87,2060.64,10.6,15.99
301.,Shyam Metalics,841.70,25.88,23494.55,0.53,220.15,1.02,4139.36,14.78,12.05
302.,Sun TV Network,593.95,13.42,23406.63,2.85,371.77,-0.34,940.59,-2.15,20.45
303.,Navin Fluo.Intl.,4690.75,80.59,23264.17,0.26,94.96,34.94,700.94,16.44,11.68
304.,SKF India,4688.20,40.97,23177.49,0.30,202.77,15.99,1213.37,0.83,28.83
305.,Amber Enterp.,6835.00,95.10,23158.98,0.00,118.42,22.60,3753.70,33.80,14.42
306.,Dr Lal Pathlabs,2762.00,47.33,23138.84,0.88,155.50,83.20,602.60,10.49,28.88
307.,Manappuram Fin.,273.30,19.75,23133.05,1.32,-203.18,-134.04,2359.73,0.50,11.04
308.,KFin Technolog.,1337.00,69.26,23019.98,0.44,85.05,14.21,282.70,23.81,34.21
309.,Crompton Gr. Con,355.50,41.18,22888.96,0.86,171.74,27.02,2060.64,5.08,19.01
310.,Inox Wind,175.20,51.16,22842.46,0.00,190.34,293.49,1274.82,141.57,11.47
311.,CESC,172.25,16.68,22832.90,2.59,385.00,-6.75,3877.00,14.47,10.88
312.,EIH,364.40,29.98,22788.29,0.43,261.62,26.50,827.45,11.62,23.19
313.,Chambal Fert.,560.00,13.63,22436.50,1.32,130.31,34.65,2448.73,-7.35,27.87
314.,Aditya AMC,776.10,24.07,22395.69,1.69,228.08,9.45,428.84,17.31,35.50
315.,Himadri Special,452.70,40.29,22353.45,0.14,155.46,34.99,1134.64,-3.59,22.01
316.,PTC Industries,14855.00,360.44,22258.91,0.00,24.57,69.57,121.92,68.37,7.75
317.,Five-Star Bus.Fi,755.30,20.73,22239.00,0.00,279.12,18.24,752.27,22.06,16.31
318.,Poly Medicure,2189.75,65.54,22187.78,0.14,91.83,34.33,440.83,16.60,20.24
319.,ERIS Lifescience,1624.10,62.85,22119.80,0.46,102.35,32.11,705.30,28.02,12.25
320.,Astrazeneca Phar,8830.00,126.11,22075.00,0.27,58.25,57.73,480.48,25.39,33.44
321.,BASF India,5012.95,47.34,21698.87,0.40,27.01,-87.13,3286.71,-2.18,17.56
322.,Atul,7360.15,44.75,21669.58,0.36,130.13,116.57,1451.64,19.76,12.72
323.,PG Electroplast,760.05,74.80,21535.81,0.03,145.23,108.81,1909.86,77.40,19.36
324.,Kalpataru Proj.,1230.00,37.35,21005.08,0.74,218.17,32.75,7066.77,18.35,15.95
325.,Cams Services,4223.85,49.45,20882.68,1.45,106.08,9.41,336.44,17.20,54.75
,Median: 501 Co.,897.0,42.18,31594.52,0.45,211.0,14.87,2060.64,10.6,15.99
326.,Castrol India,211.10,22.10,20880.39,4.03,233.46,7.96,1422.00,7.30,55.16
327.,Devyani Intl.,172.40,,20829.69,0.00,-16.77,-97.32,1212.59,15.81,6.28
328.,Sundram Fasten.,985.05,38.34,20698.70,0.74,124.49,-6.83,1530.59,4.37,17.14
329.,IIFL Finance,483.30,36.22,20533.44,0.85,251.36,-44.38,2591.25,-9.20,8.76
330.,Deepak Fertiliz.,1606.05,21.78,20274.46,0.54,277.86,23.15,2667.35,27.85,16.02
331.,Chalet Hotels,915.30,140.35,19998.46,0.00,123.84,50.22,521.97,24.80,11.30
332.,Sagility India,42.57,37.02,19928.36,0.00,182.57,127.62,1568.48,22.23,9.48
333.,Karur Vysya Bank,247.50,10.26,19925.48,0.95,513.36,12.55,2515.93,15.04,7.39
334.,Kansai Nerolac,244.00,33.36,19727.18,1.02,102.43,-10.38,1816.65,2.67,13.03
335.,Anant Raj,569.00,45.95,19531.48,0.14,118.79,51.46,540.65,22.16,11.17
336.,Vedant Fashions,803.30,50.20,19516.13,1.08,101.11,-12.68,367.44,1.18,26.66
337.,Triveni Turbine,612.65,54.52,19474.74,0.43,94.60,23.55,538.00,17.44,44.22
338.,Zensar Tech.,851.90,29.79,19351.92,1.08,176.40,1.79,1358.90,10.51,22.03
339.,CreditAcc. Gram.,1205.00,36.22,19248.51,0.85,47.21,-88.11,1406.63,-3.49,9.52
340.,Ircon Intl.,203.30,26.30,19120.65,1.48,211.78,-14.52,3412.07,-9.90,12.10
341.,Aadhar Hsg. Fin.,442.15,20.95,19103.49,0.00,244.84,21.35,832.61,20.35,11.42
342.,Ola Electric,43.25,,19076.89,0.00,-870.00,-109.13,611.00,-61.76,-28.10
343.,Alembic Pharma,970.25,33.57,19071.53,1.17,156.63,-12.11,1769.64,16.66,13.05
344.,Concord Biotech,1818.85,51.23,19028.11,0.49,140.39,47.75,429.88,34.77,29.54
345.,Schneider Elect.,790.15,74.26,18892.44,0.00,54.61,1606.56,586.89,24.41,39.66
346.,EID Parry,1061.05,25.12,18863.14,0.41,539.44,-31.34,6811.12,22.57,17.35
347.,Jubilant Pharmo,1183.80,33.88,18857.87,0.46,151.30,16210.18,1928.80,9.68,9.54
348.,DCM Shriram,1205.00,31.12,18791.03,0.56,178.91,51.88,2876.76,19.90,11.67
349.,Carborundum Uni.,976.70,51.98,18598.52,0.40,30.10,-78.39,1217.12,1.33,15.99
350.,BEML Ltd,4438.90,63.17,18485.55,0.46,287.55,11.97,1652.53,9.18,15.65
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
351.,Guj.St.Petronet,320.25,16.24,18068.86,1.56,352.25,-50.56,4290.52,-5.33,15.04
352.,Bikaji Foods,714.50,92.12,17904.85,0.14,39.92,-65.66,613.62,-0.14,18.07
353.,Amara Raja Ener.,970.00,20.19,17753.48,1.02,166.81,-26.85,2973.85,6.33,16.90
354.,Brainbees Solut.,339.75,,17722.50,0.00,-111.53,-19.62,1930.32,15.81,-0.40
355.,SignatureGlobal,1252.85,174.16,17603.91,0.00,61.13,48.26,520.43,-25.05,7.56
356.,Techno Elec.Engg,1507.00,46.38,17526.37,0.45,134.65,73.65,815.79,85.57,16.53
357.,Whirlpool India,1381.10,49.50,17522.25,0.36,119.47,26.11,2004.67,15.61,12.99
358.,Kirl. Brothers,2201.45,41.60,17481.41,0.36,137.80,-9.26,1281.30,4.70,28.18
359.,Kajaria Ceramics,1095.55,51.06,17449.12,1.10,43.18,-30.68,1221.85,1.13,16.81
360.,Nava,593.25,15.84,17216.18,0.35,302.84,13.69,1018.20,10.21,17.17
361.,eClerx Services,3503.30,31.72,17175.01,0.03,152.51,17.15,898.29,17.19,29.08
362.,IFCI,63.64,99.96,17146.51,0.00,260.43,73.35,413.61,-31.68,8.08
363.,Anand Rathi Wea.,2065.00,57.23,17143.76,0.50,73.73,29.77,221.96,20.45,56.26
364.,Aarti Industries,471.50,51.97,17092.84,0.22,96.00,-27.27,1949.00,9.93,6.45
365.,Zen Technologies,1891.25,60.86,17076.17,0.05,113.75,203.34,324.97,129.84,36.71
366.,Asahi India Glas,698.45,49.27,16979.32,0.29,91.54,24.97,1179.85,6.77,12.64
367.,Elgi Equipments,533.50,48.26,16907.08,0.42,102.00,33.79,992.90,14.66,21.83
368.,Indian Energy Ex,188.75,40.62,16830.69,1.57,111.99,17.76,141.26,16.47,53.61
369.,Capri Global,173.90,34.95,16722.80,0.08,177.74,115.21,957.33,47.59,11.18
370.,V-Guard Industri,382.00,53.08,16654.99,0.40,91.13,19.64,1538.08,14.55,19.72
371.,Century Plyboard,738.50,84.90,16407.46,0.14,53.15,-33.08,1198.33,12.97,10.36
372.,Newgen Software,1155.70,51.93,16367.61,0.45,108.34,2.92,429.89,14.55,28.62
373.,UTI AMC,1277.25,22.34,16355.38,1.87,101.99,-46.26,375.91,-9.65,21.02
374.,HBL Engineering,589.75,58.99,16347.51,0.08,44.75,-53.53,475.58,-22.05,26.30
375.,Sobha,1524.50,172.13,16300.61,0.20,40.86,481.22,1240.62,62.63,6.44
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
376.,Jupiter Wagons,381.90,43.54,16211.53,0.26,97.33,-6.61,1002.04,-9.96,21.60
377.,Aptus Value Hou.,323.00,21.50,16144.31,1.41,207.03,26.21,484.04,29.24,15.04
378.,Afcons Infrastr.,437.50,33.04,16090.57,0.00,110.92,-23.45,3223.27,-11.36,19.51
379.,Indiamart Inter.,2671.50,30.35,16037.62,1.12,180.60,81.33,355.10,12.84,34.24
380.,Caplin Point Lab,2098.10,29.77,15948.03,0.25,145.28,17.60,502.45,10.86,25.85
381.,Clean Science,1498.40,60.21,15923.04,0.34,74.09,5.44,263.68,15.89,27.22
382.,Natco Pharma,882.00,8.47,15797.55,1.08,406.00,5.10,1221.00,14.29,32.80
383.,Sai Life,754.25,90.76,15745.24,0.00,89.94,46.24,567.01,32.62,13.93
384.,PCBL Chemical,415.85,36.08,15696.79,1.33,100.19,-9.73,2087.49,8.23,11.86
385.,Bata India,1219.00,65.40,15667.50,1.00,45.92,-27.86,788.21,-1.21,14.62
386.,Trident,30.68,42.33,15634.69,1.64,133.42,135.40,1864.34,10.82,9.52
387.,Data Pattern,2785.00,70.35,15591.56,0.22,114.08,60.45,396.21,117.35,21.63
388.,L T Foods,448.10,25.70,15560.37,0.43,160.52,7.91,2228.36,7.40,19.23
389.,International Ge,359.40,36.33,15531.76,0.67,140.73,11.62,304.78,9.62,68.01
390.,Sarda Energy,440.25,22.12,15513.57,0.23,100.38,13.40,1238.84,39.31,15.58
391.,Jindal Saw,242.15,10.50,15485.71,0.82,86.92,-81.91,5046.59,-6.98,19.37
392.,Intellect Design,1113.20,46.56,15468.18,0.37,136.40,58.43,725.91,18.29,16.64
393.,Neuland Labs.,12022.80,76.10,15425.09,0.10,27.81,-58.84,328.36,-14.71,18.18
394.,R R Kabel,1346.00,48.83,15219.58,0.43,129.13,64.04,2217.84,26.44,20.23
395.,BLS Internat.,369.55,29.92,15215.86,0.27,145.22,67.34,692.77,54.74,32.90
396.,Doms Industries,2505.15,75.11,15203.18,0.10,51.28,7.24,508.73,26.00,26.15
397.,Niva Bupa Health,82.13,70.94,15153.40,0.00,206.08,31.21,1670.79,27.00,6.75
398.,JBM Auto,637.00,74.60,15064.70,0.12,72.03,19.00,1645.70,10.75,14.18
399.,Rainbow Child.,1477.00,63.12,14999.17,0.21,56.56,10.54,370.11,8.50,18.69
400.,ACME Solar Hold.,247.85,56.30,14997.11,0.08,122.07,980.72,486.89,64.96,8.40
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
401.,Blue Dart Expres,6300.00,59.24,14949.91,0.40,55.15,-29.09,1417.32,7.14,17.16
402.,AAVAS Financiers,1876.00,25.84,14849.80,0.00,153.68,7.75,636.21,16.52,10.10
403.,JM Financial,154.50,19.01,14768.83,1.69,235.02,782.36,1003.92,-20.37,9.39
404.,City Union Bank,199.00,13.09,14746.11,0.78,287.96,13.01,1532.72,11.54,6.86
405.,CEAT,3641.20,29.84,14728.64,0.83,98.71,-11.12,3420.62,14.33,15.04
406.,Godrej Agrovet,762.85,36.38,14671.81,1.31,66.10,15.70,2133.64,-0.03,16.49
407.,T R I L,488.70,69.28,14669.13,0.04,94.20,129.45,676.48,31.94,27.97
408.,Action Const.Eq.,1217.10,35.39,14493.64,0.17,118.56,20.44,960.99,14.97,40.28
409.,RBL Bank,236.55,20.08,14406.18,0.63,86.99,-76.13,3476.60,4.12,6.07
410.,Cyient,1295.80,23.36,14389.88,2.31,186.40,-9.94,1909.20,2.60,16.66
411.,Elecon Engg.Co,640.80,34.77,14379.51,0.32,146.48,41.32,797.57,41.26,28.46
412.,Finolex Cables,938.30,20.46,14350.34,0.86,191.71,3.01,1594.58,13.82,17.64
413.,Home First Finan,1386.90,37.42,14307.85,0.28,104.69,25.42,414.66,32.58,11.35
414.,NCC,227.75,17.39,14299.24,0.97,265.07,-2.14,6130.88,-5.46,22.12
415.,Mahanagar Gas,1444.10,13.64,14264.45,2.07,252.19,-4.83,1864.85,19.00,24.48
416.,TBO Tek,1302.00,64.48,14138.16,0.00,58.91,10.84,446.13,20.88,26.35
417.,Vardhman Textile,488.50,15.95,14128.74,0.82,237.88,18.31,2508.57,2.00,11.23
418.,GE Shipping Co,984.20,6.00,14051.13,3.01,363.09,-56.85,1223.04,-18.32,16.93
419.,Zee Entertainmen,146.15,18.46,14037.96,0.64,188.40,1144.88,2184.10,0.65,9.21
420.,Indegene,581.15,33.50,13951.55,0.34,117.60,26.32,755.60,12.27,24.80
421.,Swan Energy,443.70,18.47,13908.09,0.02,-22.35,-163.40,855.75,-38.78,14.29
422.,Railtel Corpn.,423.00,43.07,13575.69,0.66,113.45,55.13,1308.28,57.11,21.78
423.,Welspun Living,139.30,21.18,13537.32,1.19,132.80,0.97,2645.90,2.74,14.44
424.,Finolex Inds.,217.20,29.60,13476.80,1.15,150.26,-6.92,1171.81,-5.15,10.16
425.,Bombay Burmah,1928.00,11.96,13452.01,0.89,584.78,0.77,4518.82,8.58,35.46
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
426.,Rites,279.30,34.90,13423.16,4.07,141.33,5.24,615.43,-4.32,20.81
427.,Engineers India,234.35,22.79,13171.47,1.27,279.81,142.22,1010.23,25.47,25.42
428.,Gravita India,1772.40,41.93,13081.79,0.35,94.92,37.61,1037.07,20.11,21.63
429.,Tata Tele. Mah.,66.82,,13062.82,0.00,-306.42,1.44,308.27,-4.65,50.32
430.,Craftsman Auto,5454.50,61.33,13012.02,0.10,66.76,19.75,1749.25,58.25,11.74
431.,G M D C,404.15,18.77,12851.97,2.29,226.22,20.82,786.28,4.80,14.17
432.,HFCL,87.26,72.64,12588.82,0.24,-83.30,-174.47,800.72,-39.62,7.67
433.,Titagarh Rail,928.00,45.43,12497.75,0.09,64.45,-20.17,1005.57,-4.45,16.56
434.,Godawari Power,185.35,15.27,12404.72,0.55,221.67,1.24,1468.08,-4.04,23.29
435.,Kirloskar Oil,854.15,27.59,12404.69,0.69,126.56,-17.34,1752.89,5.59,14.01
436.,Jyothy Labs,337.50,33.15,12393.53,1.03,76.27,1.52,666.96,1.06,25.13
437.,JP Power Ven.,18.06,15.21,12377.39,0.00,155.67,-82.53,1340.91,-11.48,10.26
438.,Birlasoft Ltd,445.25,23.93,12373.09,1.48,122.11,-32.19,1316.89,-3.35,21.29
439.,Alivus Life,1006.55,25.51,12343.25,2.22,141.87,44.85,649.55,21.05,25.14
440.,Ramkrishna Forg.,681.00,37.23,12335.73,0.30,199.83,206.11,947.21,-2.75,6.93
441.,Tejas Networks,696.60,27.55,12303.38,0.36,-71.80,-148.92,1906.94,43.72,15.47
442.,Minda Corp,512.35,47.97,12249.22,0.27,52.03,-26.46,1321.26,8.75,12.73
443.,Valor Estate,226.65,,12204.38,0.00,-1.54,76.45,645.08,347.29,-1.38
444.,J & K Bank,109.85,5.81,12096.44,1.89,581.91,-8.13,3213.39,10.41,6.15
445.,Balrampur Chini,596.35,27.54,12040.40,0.50,229.12,12.65,1503.68,4.84,11.08
446.,Granules India,494.35,24.97,11995.04,0.31,152.03,0.96,1197.43,1.84,15.09
447.,Alkyl Amines,2335.65,64.08,11943.71,0.44,46.02,19.69,386.05,8.25,18.66
448.,Sammaan Capital,143.25,,11866.26,1.37,324.04,1.20,2107.43,-4.41,3.64
449.,Jubilant Ingrev.,739.70,46.90,11782.02,0.68,74.05,153.16,1051.26,-2.16,11.14
450.,Westlife Food,750.00,962.54,11695.20,0.47,1.52,100.00,603.14,7.27,6.71
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
451.,Sonata Software,414.00,27.37,11609.72,1.94,107.53,-2.56,2617.20,19.42,29.08
452.,SBFC Finance,106.50,33.57,11595.91,0.00,94.40,28.56,360.58,29.33,11.55
453.,NMDC Steel,39.47,,11567.12,0.00,-473.39,45.01,2838.25,53.77,-12.97
454.,CCL Products,847.85,36.50,11321.14,0.53,101.87,56.19,835.85,15.02,13.14
455.,Lemon Tree Hotel,139.10,56.04,11020.11,0.00,108.14,26.37,378.52,15.65,12.71
456.,Graphite India,558.15,23.77,10904.94,1.98,49.00,206.25,666.00,-7.50,10.18
457.,Inox India,1199.85,49.34,10890.26,0.17,65.51,48.62,369.40,33.59,37.98
458.,MMTC,71.33,109.70,10699.50,0.00,2.23,-97.21,0.23,-64.06,7.69
459.,Sapphire Foods,327.05,378.91,10510.81,0.00,2.02,132.83,711.34,12.61,5.78
460.,Netweb Technol.,1844.80,91.25,10451.48,0.11,42.99,44.94,414.65,55.95,32.57
461.,Can Fin Homes,782.70,12.14,10421.98,0.75,233.92,11.91,998.58,7.74,9.34
462.,S C I,223.50,12.33,10410.64,0.23,185.14,-39.75,1325.19,-6.18,9.89
463.,India Cements,331.95,,10287.01,0.00,18.02,27.13,1197.30,-3.11,-4.22
464.,Honasa Consumer,314.00,159.31,10210.75,0.00,22.64,-15.24,479.28,12.20,7.44
465.,Usha Martin,334.80,25.12,10202.76,0.82,100.91,-5.03,896.08,8.09,18.81
466.,C P C L,668.20,46.48,9950.22,8.22,469.93,-25.16,17249.12,-2.66,4.30
467.,RHI Magnesita,481.80,49.17,9949.21,0.52,36.18,-11.73,917.97,-2.68,7.01
468.,Vijaya Diagnost.,964.15,68.84,9900.58,0.11,34.87,5.81,173.24,11.62,21.68
469.,Mah. Seamless,737.60,12.74,9883.26,1.38,242.26,10.89,1417.77,16.70,16.62
470.,Happiest Minds,648.35,51.26,9872.75,0.93,34.00,-33.96,544.57,30.50,15.26
471.,Olectra Greentec,1189.70,70.18,9765.18,0.03,20.68,50.84,448.92,55.44,20.39
472.,JK Tyre & Indust,355.85,18.89,9751.00,1.26,98.66,-46.94,3758.60,1.63,12.78
473.,Alok Industries,19.58,,9721.97,0.00,-74.47,21.98,952.96,-35.14,-4.79
474.,Saregama India,502.00,48.32,9689.06,0.87,59.86,4.50,240.82,-8.45,18.05
475.,C.E. Info System,1764.20,65.28,9600.78,0.20,49.02,28.02,143.55,34.28,27.72
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
476.,Syrma SGS Tech.,539.00,55.83,9571.83,0.28,71.46,87.29,932.40,-18.39,12.41
477.,HEG,495.00,83.05,9552.41,0.90,-73.67,-323.85,542.25,-0.85,3.96
478.,PVR Inox,964.80,,9474.35,0.00,-125.30,3.47,1249.80,-0.53,2.86
479.,Netwrk.18 Media,61.25,,9444.72,0.00,-29.09,82.72,561.32,-76.80,0.61
480.,Praj Industries,502.00,46.20,9227.41,1.19,39.81,-56.70,859.68,-15.60,19.15
481.,Aditya Bir. Fas.,74.81,,9128.80,0.00,-23.55,53.46,1719.48,9.17,-2.40
482.,Akums Drugs,575.60,27.77,9059.64,0.00,149.61,457.61,1055.55,11.79,16.37
483.,Metropolis Healt,1707.00,61.02,8842.58,0.24,29.23,-19.97,345.29,4.32,14.77
484.,Cera Sanitary.,6782.50,35.79,8821.26,0.97,85.58,15.62,577.97,5.73,22.39
485.,Tanla Platforms,653.50,17.37,8797.32,1.86,117.33,-9.91,1024.36,1.87,29.12
486.,R C F,158.00,36.44,8716.68,0.77,72.46,-17.13,3729.67,-3.87,7.50
487.,Campus Activewe.,284.40,71.68,8687.18,0.25,35.03,6.96,405.71,11.50,20.10
488.,Triven.Engg.Ind.,392.90,36.06,8600.49,0.91,187.12,13.64,1629.29,25.12,8.62
489.,Latent View,412.70,49.14,8521.07,0.00,51.26,13.31,232.18,35.27,15.88
490.,RattanIndia Ent,59.69,102.18,8250.69,0.00,-358.51,-337.80,1504.56,16.25,12.70
491.,G N F C,554.20,13.71,8143.48,2.98,211.00,62.31,2055.00,-2.61,9.57
492.,Guj Pipavav Port,161.95,19.60,7829.34,4.44,109.04,8.52,251.77,0.20,24.88
493.,Just Dial,919.30,13.44,7818.18,0.00,157.60,222.22,289.20,7.00,15.31
494.,PNC Infratech,302.50,9.57,7760.31,0.21,75.44,-80.94,1704.11,-34.46,14.31
495.,Mastek,2500.00,20.93,7736.60,0.75,81.07,-5.31,905.42,16.12,17.47
496.,Sterling & Wils.,316.65,90.76,7393.69,0.00,55.01,3829.29,2519.11,113.84,15.99
497.,Sh.Renuka Sugar,33.20,,7066.56,0.00,93.10,182.52,2691.30,-20.28,10.46
498.,Raymond Lifestyl,1099.70,102.97,6699.78,0.00,-44.95,-133.98,1494.15,-11.30,2.86
499.,KNR Construct.,231.30,5.85,6505.00,0.12,7.60,-76.14,975.21,-31.03,29.18
500.,Route Mobile,989.20,18.72,6231.66,1.14,60.28,-15.20,1175.00,15.53,17.71
,Median: 501 Co.,895.65,42.15,31573.72,0.45,211.0,14.87,2060.64,10.6,15.99
501.0,Raymond,601.25,76.99,4002.77,1.68,137.47,-6.28,557.46,109.67,2.03
,Median: 501 Co.,893.85,42.15,31649.99,0.45,211.0,14.87,2060.64,10.6,15.99
