S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
59.,Pidilite Inds.,3004.55,72.97,152826.03,0.54,427.52,25.89,3141.14,8.25,29.86
60.,Bajaj Holdings,13675.00,23.35,152189.12,0.68,1750.79,-36.47,145.26,-88.01,9.94
61.,Hindalco Inds.,673.15,9.19,151272.07,0.51,5284.00,66.30,64890.00,15.89,15.21
62.,Macrotech Devel.,1458.00,52.68,145501.04,0.15,922.80,38.50,4224.30,5.12,15.62
63.,B P C L,319.95,10.20,138810.48,6.54,4391.83,-8.12,111230.21,-4.57,16.25
64.,TVS Motor Co.,2916.05,62.75,138537.78,0.35,697.51,68.86,11542.00,16.09,19.43
65.,Ambuja Cements,559.05,33.27,137700.84,0.37,1282.24,-3.56,9888.61,11.18,10.50
66.,Britannia Inds.,5706.05,62.57,137440.60,1.30,559.13,4.20,4432.19,8.92,53.01
67.,Power Fin.Corpn.,413.20,5.91,136360.28,3.78,8357.88,12.31,29265.03,21.22,9.73
68.,Cholaman.Inv.&Fn,1611.10,31.76,135509.87,0.13,1259.54,18.24,7045.57,30.23,10.34
69.,Mazagon Dock,3192.80,53.41,128791.17,0.44,325.29,-50.93,3174.41,2.28,43.17
70.,Tata Power Co.,402.70,34.44,128676.23,0.57,1306.09,18.16,17095.88,7.88,10.81
71.,Shriram Finance,675.75,15.29,127076.59,1.45,2143.77,10.69,11454.23,20.78,10.97
72.,A B B,5962.65,66.86,126353.56,0.74,474.63,3.16,3159.56,2.57,38.65
73.,Bank of Baroda,239.00,5.98,123595.53,3.45,5446.52,5.60,32345.00,4.10,6.29
74.,Cipla,1510.65,23.18,122016.44,0.86,1214.14,30.29,6729.69,9.19,23.30
75.,Punjab Natl.Bank,106.00,6.53,121825.15,2.74,5011.17,49.28,32523.09,13.39,6.32
,Median: 501 Co.,894.4,42.09,31615.32,0.45,211.0,14.87,2060.64,10.6,15.99
76.,Godrej Consumer,1184.20,64.01,121144.68,1.26,411.90,65.01,3597.95,6.27,19.39
77.,GAIL (India),184.00,11.54,120981.77,3.51,2505.61,0.93,36442.09,11.25,14.00
78.,Max Healthcare,1238.65,106.40,120414.98,0.13,319.00,26.82,1909.74,34.21,14.89
79.,BSE,2792.40,86.14,113407.47,0.22,493.67,364.43,916.97,70.09,43.54
80.,Siemens,3150.45,59.58,112194.04,0.38,582.50,-37.19,4259.00,2.57,23.61
81.,Dr Reddy's Labs,1341.30,19.81,111941.00,0.61,1586.70,21.14,8528.40,19.89,23.13
82.,Indus Towers,415.20,11.25,111893.75,0.00,1779.10,-3.99,7727.10,7.42,29.22
83.,Tata Consumer,1126.15,88.23,111433.80,0.74,348.72,-8.72,4608.22,17.35,9.16
84.,Indian Hotels Co,781.75,66.97,111276.81,0.29,562.66,25.43,2425.14,27.28,17.21
85.,Union Bank (I),144.35,6.02,110191.20,2.51,5011.22,50.57,27869.00,5.13,6.72
86.,Torrent Pharma.,3226.75,56.64,109203.01,1.01,498.00,14.78,2959.00,7.80,27.22
87.,HDFC AMC,5094.95,44.30,108985.86,1.77,638.73,18.05,901.22,29.59,43.33
88.,Samvardh. Mothe.,153.15,28.31,107760.82,0.56,1115.38,-23.41,29316.83,8.35,13.94
89.,United Spirits,1456.15,64.95,105913.18,0.63,421.00,61.01,3031.00,8.91,28.67
90.,Shree Cement,29100.00,93.48,104994.96,0.37,574.99,-14.90,5532.02,2.43,6.74
91.,REC Ltd,398.55,6.56,104947.25,3.97,4309.98,5.66,15333.54,20.95,9.96
92.,CG Power & Ind,675.70,106.18,103319.84,0.19,274.26,14.18,2752.77,25.60,38.09
93.,Muthoot Finance,2572.10,19.34,103260.52,1.01,1443.93,26.76,5621.75,35.01,13.14
94.,Adani Energy Sol,850.15,45.82,102127.02,0.00,713.66,79.05,6374.58,35.43,10.23
95.,IDBI Bank,94.50,13.26,101610.27,1.59,2094.28,25.38,6982.97,-0.17,6.76
96.,Bajaj Housing,121.65,46.85,101362.86,0.00,586.68,53.85,2507.96,25.62,9.54
97.,Apollo Hospitals,7041.40,70.03,101244.52,0.23,414.50,53.51,5592.20,13.11,17.12
98.,Canara Bank,110.65,5.69,100366.73,3.60,5111.23,28.30,31495.57,7.54,6.79
99.,ICICI Lombard,2009.60,39.71,99774.31,0.63,509.59,-1.91,6051.16,12.24,24.86
100.,Swiggy,399.70,,99671.13,0.00,-1081.18,-104.09,4410.02,44.80,-29.20
,Median: 501 Co.,894.4,42.09,31615.32,0.45,211.0,14.87,2060.64,10.6,15.99
101.,Siemens Ener.Ind,2770.00,241.35,98645.36,0.00,0.00,,0.00,,
102.,Havells India,1566.75,66.29,98226.11,0.64,517.00,15.74,6543.56,20.24,25.32
103.,Zydus Lifesci.,975.00,21.03,98107.81,1.14,1243.70,6.44,6527.90,17.96,24.44
104.,Info Edg.(India),1512.75,110.15,98014.22,0.40,677.89,271.00,749.63,14.03,5.28
105.,Polycab India,6439.70,50.23,96899.59,0.55,734.36,33.09,6985.80,24.93,29.72
106.,Persistent Sys,6109.80,68.26,95557.29,0.57,395.76,25.51,3242.11,25.15,31.39
107.,Mankind Pharma,2312.00,48.01,95422.89,0.00,424.65,-9.86,3079.37,27.13,17.93
108.,Jindal Steel,919.00,26.15,93746.17,0.22,-303.59,-41.03,13183.13,-2.25,10.84
109.,Bharti Hexacom,1872.95,69.85,93647.50,0.55,468.40,110.42,2289.00,22.54,17.55
110.,Bosch,31710.00,46.44,93524.35,1.61,553.70,-1.91,4910.60,16.00,21.11
111.,SBI Cards,969.00,48.13,92198.94,0.25,534.18,-19.35,4673.95,7.50,10.40
112.,Cummins India,3318.25,45.99,91981.83,1.57,529.50,-1.74,2470.38,6.53,36.41
113.,ICICI Pru Life,635.00,77.50,91829.84,0.13,385.28,121.85,15687.32,-30.22,11.83
114.,SRF,3080.00,73.07,91298.81,0.24,526.06,24.60,4313.34,20.83,12.27
115.,Marico,704.45,56.07,91296.50,1.36,345.00,7.86,2730.00,19.84,45.58
116.,B H E L,262.10,170.96,91264.88,0.19,504.45,3.03,8993.37,8.88,4.46
117.,NTPC Green,107.15,190.41,90288.07,0.00,233.21,188.09,622.27,22.46,4.87
118.,JSW Energy,507.65,49.66,88725.46,0.40,414.51,18.18,3189.39,15.73,6.49
119.,Lupin,1935.45,26.95,88391.13,0.40,782.38,114.93,5667.13,14.24,21.53
